topic,priority,difficulty,weight
Percentages,Very High,Medium,10
Ratio and Proportion,Very High,Medium,10
Data Interpretation,High,Medium,8
Average,High,Easy-Medium,8
Time and Work,High,Medium,8
Number System,High,Medium,8
Profit and Loss,Medium,Medium,7
Time Speed Distance,Medium,Medium,7
Simple Interest,Medium,Easy-Medium,6
Compound Interest,Medium,Medium,6
Probability,Medium,Medium,6
Permutation and Combination,Low,Medium,5
HCF and LCM,Medium,Easy-Medium,7
Mixtures and Alligations,Low,Medium,5
Pipes and Cisterns,Medium,Medium,6
