Section,Topic,Difficulty,Priority
Quantitative Aptitude,Percentages,Easy-Medium,Very High
Quantitative Aptitude,Data Interpretation,Medium,High
Quantitative Aptitude,Ratio and Proportion,Easy-Medium,High
Quantitative Aptitude,Time and Work,Medium,High
Quantitative Aptitude,Average,Easy-Medium,Medium
Logical Reasoning,Coding Decoding,Easy,Very High
Logical Reasoning,Blood Relations,Easy,High
Logical Reasoning,Direction Sense,Easy,High
Logical Reasoning,Syllogisms,Medium,High
Logical Reasoning,Logical Puzzles,Medium,Medium
Verbal Ability,Reading Comprehension,Medium,Very High
Verbal Ability,Grammar,Easy-Medium,High
Verbal Ability,Error Spotting,Easy-Medium,High
Verbal Ability,Vocabulary,Easy-Medium,Medium
Verbal Ability,Fill in the Blanks,Easy,Medium
