Section,Topic,Difficulty,Priority
Quantitative Aptitude,Data Interpretation,Medium-Hard,Very High
Quantitative Aptitude,Percentages,Medium,Very High
Quantitative Aptitude,Ratio and Proportion,Medium,Very High
Quantitative Aptitude,Profit and Loss,Medium-Hard,High
Quantitative Aptitude,Average,Medium,High
Logical Reasoning,Critical Reasoning,Hard,Very High
Logical Reasoning,Logical Puzzles,Hard,Very High
Logical Reasoning,Statement and Conclusion,Medium-Hard,Very High
Logical Reasoning,Data Sufficiency,Hard,High
Logical Reasoning,Venn Diagrams,Medium-Hard,High
Verbal Ability,Reading Comprehension,Hard,Very High
Verbal Ability,Critical Reasoning,Hard,Very High
Verbal Ability,Inference,Hard,Very High
Verbal Ability,Vocabulary,Medium-Hard,High
Verbal Ability,Para Jumbles,Medium-Hard,High
