Section,Topic,Difficulty,Priority
Quantitative Aptitude,Percentages,Medium,Very High
Quantitative Aptitude,Ratio and Proportion,Medium,Very High
Quantitative Aptitude,Data Interpretation,Medium,High
Quantitative Aptitude,Average,Easy-Medium,High
Quantitative Aptitude,Time and Work,Medium,High
Logical Reasoning,Coding Decoding,Easy,Very High
Logical Reasoning,Blood Relations,Easy,Very High
Logical Reasoning,Direction Sense,Easy,Very High
Logical Reasoning,Seating Arrangement,Medium,High
Logical Reasoning,Logical Puzzles,Medium,High
Verbal Ability,Reading Comprehension,Medium,Very High
Verbal Ability,Grammar,Easy-Medium,Very High
Verbal Ability,Vocabulary,Easy-Medium,High
Verbal Ability,Error Spotting,Easy-Medium,High
Verbal Ability,Sentence Correction,Medium,Medium
