Section,Topic,Difficulty,Priority
Quantitative Aptitude,Data Interpretation,Medium-Hard,Very High
Quantitative Aptitude,Percentages,Medium,Very High
Quantitative Aptitude,Profit and Loss,Medium,Very High
Quantitative Aptitude,Simple Interest,Medium,Very High
Quantitative Aptitude,Compound Interest,Medium-Hard,Very High
Logical Reasoning,Data Sufficiency,Medium-Hard,Very High
Logical Reasoning,Logical Puzzles,Medium-Hard,Very High
Logical Reasoning,Seating Arrangement,Medium,High
Logical Reasoning,Syllogisms,Medium,High
Logical Reasoning,Blood Relations,Easy-Medium,High
Verbal Ability,Reading Comprehension,Medium-Hard,Very High
Verbal Ability,Grammar,Medium,Very High
Verbal Ability,Error Spotting,Medium,Very High
Verbal Ability,Vocabulary,Medium,High
Verbal Ability,Sentence Correction,Medium,High
