topic,priority,difficulty,weight
Data Interpretation,Very High,Medium-Hard,10
Percentages,Very High,Medium,10
Profit and Loss,Very High,Medium,10
Simple Interest,Very High,Medium,10
Compound Interest,Very High,Medium-Hard,10
Ratio and Proportion,High,Medium,8
Average,High,Easy-Medium,8
Probability,High,Medium-Hard,8
Time and Work,Medium,Medium,7
Permutation and Combination,Medium,Medium-Hard,6
Number System,Medium,Medium,6
Statistics,High,Medium-Hard,9
Time Speed Distance,Low,Medium,4
Algebra,Medium,Medium,5
