Section,Topic,Difficulty,Priority
Quantitative Aptitude,Data Interpretation,Medium,Very High
Quantitative Aptitude,Percentages,Medium,Very High
Quantitative Aptitude,Profit and Loss,Medium-Hard,Very High
Quantitative Aptitude,Ratio and Proportion,Medium,High
Quantitative Aptitude,Average,Medium,High
Logical Reasoning,Critical Reasoning,Medium-Hard,Very High
Logical Reasoning,Logical Puzzles,Medium,High
Logical Reasoning,Data Sufficiency,Medium-Hard,High
Logical Reasoning,Statement and Conclusion,Medium,High
Logical Reasoning,Syllogisms,Medium,Medium
Verbal Ability,Reading Comprehension,Medium,Very High
Verbal Ability,Critical Reasoning,Medium-Hard,Very High
Verbal Ability,Vocabulary,Medium,High
Verbal Ability,Grammar,Medium,High
Verbal Ability,Para Jumbles,Medium,High
