topic,priority,difficulty,weight
Probability,Very High,Medium-Hard,10
Data Interpretation,Very High,Medium-Hard,10
Percentages,High,Medium,9
Time and Work,High,Medium-Hard,9
Ratio and Proportion,High,Medium,8
Number System,High,Medium-Hard,8
Permutation and Combination,High,Hard,8
Algebra,Medium,Medium-Hard,7
Statistics,Medium,Medium-Hard,7
Time Speed Distance,Medium,Medium,7
Profit and Loss,Medium,Medium,6
Compound Interest,Medium,Medium,6
Logarithms,Low,Hard,4
Set Theory,Low,Medium-Hard,4
Geometry,Low,Medium,3
