topic,priority,difficulty,weight
Data Interpretation,Very High,Medium-Hard,10
Percentages,Very High,Medium,10
Ratio and Proportion,Very High,Medium,10
Profit and Loss,High,Medium-Hard,9
Average,High,Medium,8
Probability,High,Medium-Hard,8
Statistics,High,Medium-Hard,8
Time and Work,Medium,Medium,7
Time Speed Distance,Medium,Medium,6
Permutation and Combination,Medium,Hard,6
Number System,Medium,Medium,5
Algebra,Medium,Medium-Hard,5
Compound Interest,Low,Medium,4
Mixtures and Alligations,Low,Medium-Hard,4
