Section,Topic,Difficulty,Priority
Quantitative Aptitude,Probability,Medium-Hard,Very High
Quantitative Aptitude,Data Interpretation,Medium-Hard,Very High
Quantitative Aptitude,Percentages,Medium,High
Quantitative Aptitude,Time and Work,Medium-Hard,High
Quantitative Aptitude,Ratio and Proportion,Medium,High
Logical Reasoning,Logical Puzzles,Hard,Very High
Logical Reasoning,Seating Arrangement,Hard,Very High
Logical Reasoning,Data Sufficiency,Medium-Hard,Very High
Logical Reasoning,Statement and Conclusion,Medium-Hard,High
Logical Reasoning,Syllogisms,Medium-Hard,High
Verbal Ability,Reading Comprehension,Medium-Hard,Very High
Verbal Ability,Critical Reasoning,Hard,Very High
Verbal Ability,Grammar,Medium,High
Verbal Ability,Vocabulary,Medium-Hard,High
Verbal Ability,Para Jumbles,Medium-Hard,High
