Section,Topic,Difficulty,Priority
Quantitative Aptitude,Data Interpretation,Medium,Very High
Quantitative Aptitude,Percentages,Medium,Very High
Quantitative Aptitude,Probability,Medium,High
Quantitative Aptitude,Ratio and Proportion,Medium,High
Quantitative Aptitude,Time and Work,Medium,High
Logical Reasoning,Logical Puzzles,Medium,Very High
Logical Reasoning,Data Sufficiency,Medium,High
Logical Reasoning,Seating Arrangement,Medium,High
Logical Reasoning,Syllogisms,Medium,High
Logical Reasoning,Coding Decoding,Easy-Medium,Medium
Verbal Ability,Reading Comprehension,Medium,Very High
Verbal Ability,Grammar,Easy-Medium,High
Verbal Ability,Error Spotting,Easy-Medium,High
Verbal Ability,Vocabulary,Medium,High
Verbal Ability,Sentence Correction,Medium,Medium
